n,m,xi,b,b_direct,b_discrepancy,source_peak,source_bound,source_ratio,y_over_m,H_ratio,lower_clock_ratio,upper_clock_ratio,moment_error
40,19,0.0006412364700532211,0.9039631389734327,0.9039631389734355,2.7755575615628914e-15,92.8510690102027,8120.768948782814,0.011433777958196894,0.006115734060504591,1.4537569020550136,18.050332487000247,0.011567114231752346,2.7755575615628914e-17
40,19,0.0006453610700722395,0.9034023908598675,0.903402390859871,3.4416913763379853e-15,92.76493312197245,8052.249548602822,0.011520374842092227,0.006153273178459399,1.4535406428387523,18.04180559350098,0.011635969562089189,1.3877787807814457e-16
40,19,0.0006495122005930483,0.9028387127060438,0.9028387127060467,2.886579864025407e-15,92.67835125469654,7984.326911474754,0.011607534646596564,0.006191032011679193,1.4533231290598458,18.033233299739976,0.011705202372570557,8.326672684688674e-17
40,19,0.0006536900322667465,0.9022720933439093,0.9022720933439092,1.1102230246251565e-16,92.59132175292673,7916.995703355468,0.011695259821056068,0.006229011719381305,1.4531043542415654,18.02461542043991,0.011774814357006096,8.326672684688674e-17
40,19,0.0006578947368421052,0.9017025216141416,0.901702521614147,5.440092820663267e-15,92.50384296308192,7850.250638840377,0.011783552808544009,0.006267213465430427,1.4528843118831078,18.015951770246073,0.011844807212522073,2.220446049250313e-16
40,20,0.000625,0.7713015360939971,0.7713015360939991,1.9984014443252818e-15,244.86926388669846,8558.010772765656,0.028612871657739816,0.01103328666675395,1.4293803237680074,31.531459578762156,0.019694852953630323,-5.551115123125783e-17
40,20,0.0006290201628139971,0.7701410614212197,0.7701410614212165,3.219646771412954e-15,244.37763626385993,8486.045389796769,0.028797587691162762,0.011096171875351465,1.4290184364476737,31.493016482842474,0.01979728946130124,-2.220446049250313e-16
40,20,0.0006330661843624754,0.7689764478112335,0.7689764478112304,3.1086244689504383e-15,243.88423471415643,8414.70502215351,0.028983099713190068,0.01115937274941903,1.4286547603471835,31.454426721932556,0.019900135803121752,-2.7755575615628914e-16
40,20,0.000637138230975552,0.7678077003387046,0.7678077003387038,7.771561172376096e-16,243.3890605001902,8343.984095617223,0.02916940609079459,0.011222890427327634,1.428289289368796,31.415690280741547,0.020003392404297528,-2.7755575615628914e-16
40,20,0.0006412364700532211,0.7666348243470635,0.7666348243470622,1.3322676295501878e-15,242.89211497930043,8273.877086713355,0.029356505110445727,0.011286726047174853,1.4279220174215113,31.37680715040234,0.020107059678693147,-3.3306690738754696e-16
40,20,0.0006453610700722395,0.7654578254508673,0.7654578254508672,1.1102230246251565e-16,242.3933996042923,8204.378522242414,0.02954439497728605,0.011350880746739877,1.4275529384213699,31.337777328525494,0.02021113802875716,-1.6653345369377348e-16
40,20,0.0006495122005930483,0.7642767095381661,0.7642767095381686,2.55351295663786e-15,241.89291592417905,8135.482978815373,0.029733073814309872,0.011415355663438164,1.4271820462917608,31.298600819254613,0.020315627845449127,-1.6653345369377348e-16
40,20,0.0006536900322667465,0.763091482772857,0.7630914827728585,1.5543122344752192e-15,241.39066558490615,8067.185082393355,0.029922539661540886,0.01148015193427609,1.4268093349637243,31.2592776333201,0.02042052950816711,-2.220446049250313e-16
40,20,0.0006578947368421052,0.7619021515970354,0.7619021515970356,1.1102230246251565e-16,240.88665033008124,7999.479507831652,0.030112790475211336,0.011545270695805266,1.4264347983762642,31.219807788093686,0.02052584338467698,-1.1102230246251565e-16
64,4,0.000244140625,0.9988545240161681,0.9988545240161102,5.795364188543317e-14,0.14228435878991139,14737.552590805824,9.654544600483866e-06,0.0002692444616905756,1.1664325397485824,2.1716985501932733,0.0005300704296297958,3.608224830031759e-16
64,4,0.00027634689994396273,0.9987035031873392,0.99870350318729,4.929390229335695e-14,0.14225216405948635,12290.097431745757,1.1574535096202246e-05,0.00030473966221373935,1.1662694311494695,2.171604265871319,0.0005999503123696803,4.85722573273506e-16
64,4,0.00031280172690898334,0.9985325845528763,0.9985325845528266,4.973799150320701e-14,0.1422157342956691,10251.643404303322,1.3872481580462635e-05,0.00034491090185797093,1.1660848481654371,2.171497563047833,0.000679035784134101,4.926614671774132e-16
64,4,0.00035406556171638964,0.9983391501069586,0.9983391501069576,9.992007221626409e-16,0.1421745141923241,8553.533052144958,1.6621729678903995e-05,0.00039037323772584493,1.1658759698672785,2.1713768089033287,0.0007685376368322135,5.412337245047638e-16
64,4,0.0004007727937832634,0.9981202384070543,0.9981202384070862,3.186340080674199e-14,0.14212787613348302,7138.6708343245555,1.990957132385147e-05,0.00044182236048961133,1.1656396065375105,2.1712401567346338,0.0008698253812408062,6.245004513516506e-16
